Time [Sec],line_1,line_2,line_3,line_4,line_5
0.5220,59127.76,78967.71,34423.34,75970.79,171014.39
1.0160,155803.96,109870.32,26485.67,50764.2,67627.07
1.5100,82277.18,247106.19,239217.54,252116.56,124646.4
2.0040,30634.33,160821.65,117614.43,103359.77,61176.76
2.4980,15268.53,170325.88,54608.99,88032.91,49860.88
2.9920,17371.04,37742.1,79390.16,141297.4,7291.95
3.4860,86020.14,33781.74,152699.19,63467.18,24552.06
3.9800,192943.81,59037.37,191148.83,44642.87,45897.02
4.4741,45385.31,65737.88,54358.0,85839.0,124525.32
4.9681,55572.87,18222.15,414065.19,93136.6,133186.49
5.4621,375133.94,13686.86,72863.92,74643.49,105647.19
5.9561,208713.24,11765.07,281318.78,94274.37,54819.84
6.4501,88093.29,32137.78,64230.74,65979.04,60011.6
6.9441,208144.65,37030.15,47863.75,215995.19,59378.85
7.4381,103551.22,138711.08,108640.54,47271.69,36508.75
7.9321,77881.51,169617.13,65215.39,221573.53,160042.58
8.4261,84701.93,80084.19,162673.4,28319.34,79832.73
8.9201,104679.77,109315.9,283891.21,60373.19,138468.65
9.4141,135135.5,161165.67,56084.96,107662.83,63637.97
9.9081,95029.58,169536.13,92240.56,45254.88,131268.04
10.4021,467913.2,139286.91,20174.89,26225.16,122608.07
10.8961,84842.8,39446.9,45004.05,17961.81,60975.86
11.3901,40931.26,54709.4,160083.04,575499.09,42375.66
11.8841,835718.74,810992.41,112864.6,239044.55,18602.66
12.3781,43589.47,101727.58,37892.51,54900.16,973277.72
12.8721,112078.16,130177.67,20926.03,56707.53,83615.26
13.3661,75478.06,58304.23,12495.72,6771.68,79309.69
13.8601,208134.51,106846.46,34142.64,10363.93,72884.03
14.3541,309897.67,42205.14,61538.38,71064.47,43760.02
14.8482,230489.31,30163.28,39577.28,20525.42,18162.07
15.3422,111614.38,88516.01,39306.5,93670.23,669597.18
15.8362,51627.43,114921.65,435063.24,39015.67,64763.24
16.3302,147219.49,74221.2,720018.5,56145.21,141913.75
16.8242,193826.17,42516.1,90267.42,48375.55,82055.85
17.3182,160497.87,14597.8,332264.53,58093.33,106523.95
17.8122,75397.62,30985.12,84017.72,58866.63,35064.97
18.3062,47753.37,3270.39,160629.4,59188.02,39125.98
18.8002,257301.95,4250.66,310654.57,349363.55,101284.31
19.2942,167784.68,20715.71,91354.63,37391.13,188593.65
19.7882,144995.88,8602.71,363382.42,13626.8,25173.19
20.2822,216929.84,14027.2,150353.37,73979.9,42546.19
20.7762,64622.58,14037.21,146239.04,37240.72,41813.93
21.2702,78887.25,38764.96,83403.98,23810.74,88968.94
21.7642,29832.56,72652.8,69576.83,79792.49,48194.92
22.2582,26335.38,74000.0,37341.0,64692.91,138529.26
22.7522,31506.31,116676.43,32458.54,35385.8,119379.66
23.2462,47331.9,60644.39,10013.67,44452.25,114155.25
23.7402,17841.65,58715.99,8732.79,25463.72,42445.88
24.2342,116817.63,241456.44,25553.89,176959.45,20255.01
24.7283,15138.39,18642.72,81220.88,121558.76,49620.01
25.2223,52771.79,8892.89,122446.64,130359.39,75588.67
25.7163,37822.32,7792.22,70853.38,119460.36,396289.17
26.2103,488174.45,52932.41,502562.65,169050.15,290855.52
26.7043,28018.72,104387.55,83323.49,158504.79,197021.42
27.1983,50643.75,194404.29,66169.96,89331.3,104841.0
27.6923,94465.68,1617767.16,42225.19,26996.66,179066.66
28.1863,94727.49,54347.96,43950.63,711477.72,158939.8
28.6803,228963.96,34092.51,26635.96,93932.02,29792.47
29.1743,67747.67,83564.96,51868.34,98997.63,57751.89
29.6683,75558.5,144035.81,79440.45,16459.92,27217.1
