Time [Sec],line_1,line_2,line_3,line_4,line_5
0.5220,11104.45,11805.03,11444.73,11975.18,11534.8
1.0160,15548.73,16970.39,14597.69,16589.93,14527.62
1.5100,19433.63,18232.0,18432.26,16449.77,16950.37
2.0040,19804.15,17941.62,18542.41,18812.77,18852.83
2.4980,15718.92,17801.44,19704.01,19663.95,20785.59
2.9920,14888.0,21827.19,17601.18,16059.31,19523.76
3.4860,18402.22,17681.28,22718.63,16619.97,15398.56
3.9800,27256.8,15919.15,24321.34,16880.28,16950.37
4.4741,17721.34,16760.14,25894.19,21246.29,20415.04
4.9681,18352.15,15849.07,124366.09,21867.26,21376.49
5.4621,85714.52,15598.78,19493.71,24822.23,136237.04
5.9561,24371.43,15418.58,28449.2,53523.26,19213.32
6.4501,21606.85,15358.51,21005.92,24120.99,20855.7
6.9441,23259.52,23249.5,24922.41,42816.1,22277.91
7.4381,22979.05,18372.18,20535.22,18682.6,27176.65
7.9321,30072.63,30012.49,29812.06,19413.6,52870.76
8.4261,26064.51,20745.53,23770.39,22027.51,23620.13
8.9201,25212.94,20475.13,21576.8,19854.23,23179.39
9.4141,18422.25,26294.95,20114.6,22808.77,25052.65
9.9081,23980.75,21536.74,17461.0,25132.79,20254.81
10.4021,22688.58,26755.83,15698.9,28248.79,25593.63
10.8961,21366.47,19734.05,15678.87,16940.36,17781.41
11.3901,16880.28,19633.91,43026.76,39656.72,22798.76
11.8841,30303.13,20354.95,16670.03,31866.63,17280.78
12.3781,16690.05,22488.25,16159.42,20645.38,15879.1
12.8721,19123.2,20655.4,16810.2,18001.7,20775.58
13.3661,21877.27,17671.27,15869.09,16479.8,18892.88
13.8601,23179.39,16810.2,15638.83,16820.21,24671.96
14.3541,45785.58,21486.66,20945.83,18382.2,15989.23
14.8482,34573.11,18011.71,20965.86,17220.7,16339.64
15.3422,23810.46,17260.75,16650.01,17450.99,124517.44
15.8362,22017.49,22177.75,18692.61,17020.46,15859.08
16.3302,20985.89,20825.65,29401.19,17711.32,18592.48
16.8242,25353.19,15989.23,29441.27,20835.67,21496.68
17.3182,23960.72,13686.76,21757.08,20745.53,21456.61
17.8122,24070.91,16650.01,35956.63,17260.75,17380.9
18.3062,18892.88,14717.82,23610.11,17250.74,17751.37
18.8002,19673.97,15708.91,29922.3,18552.42,20104.59
19.2942,26234.83,15188.33,18792.75,18652.56,53663.8
19.7882,22928.97,15138.27,21005.92,16279.57,16690.05
20.2822,17461.0,15508.68,19363.53,18712.64,17350.87
20.7762,15498.67,15558.74,20435.07,18151.89,19013.05
21.2702,19663.95,16099.36,20615.34,19694.0,17751.37
21.7642,15598.78,19563.81,19223.34,17110.57,19513.74
22.2582,15638.83,16409.72,18141.88,19533.77,20855.7
22.7522,16990.42,19213.32,18522.38,17701.31,19323.48
23.2462,17951.63,19123.2,14988.11,15789.0,22788.74
23.7402,15328.48,24131.01,15498.67,15789.0,18932.94
24.2342,26294.95,25363.21,17250.74,17771.4,15799.01
24.7283,16029.27,18472.32,17270.77,21076.03,15598.78
25.2223,17591.17,15478.65,25773.97,23429.81,18983.01
25.7163,16299.59,15268.41,30493.54,24932.43,25202.92
26.2103,18171.92,16700.07,32197.39,23069.2,23630.15
26.7043,16429.74,16489.81,23810.46,23169.37,21005.92
27.1983,17531.09,22758.69,25723.88,21937.37,24531.72
27.6923,20124.62,69192.47,23570.05,15688.88,32077.12
28.1863,19583.84,20745.53,19673.97,20565.26,20024.47
28.6803,22838.82,19533.77,23920.65,22388.09,22628.48
29.1743,25433.34,19303.45,29531.46,39105.15,17561.13
29.6683,21767.1,33350.12,32748.69,21226.26,17551.12
