Time [Sec],line_1,line_2,line_3,line_4,line_5
0.5220,9653.68,4170.69,500.01,1660.11,4720.88
1.0160,5091.02,3100.38,1530.09,3390.45,5071.02
1.5100,6051.45,5101.03,1390.08,3590.51,8072.57
2.0040,540.01,1620.1,2460.24,1250.06,2210.19
2.4980,1010.04,960.04,3010.36,24954.59,910.03
2.9920,960.04,2770.3,6361.6,46415.01,170.0
3.4860,2220.19,600.01,870.03,2820.31,3170.4
3.9800,1780.13,3090.38,400.01,1920.15,19114.43
4.4741,1040.04,530.01,124701.71,1970.15,640.02
4.9681,12095.78,210.0,5991.42,2320.21,5301.11
5.4621,2290.21,780.02,1550.09,4690.87,5671.27
5.9561,1290.07,1230.06,1440.08,1320.07,2020.16
6.4501,1580.1,1410.08,760.02,4750.89,380.01
6.9441,530.01,5781.32,1280.06,2120.18,2480.24
7.4381,330.0,680.02,720.02,1150.05,7061.97
7.9321,1270.06,910.03,420.01,2300.21,1010.04
8.4261,1220.06,360.01,310.0,2170.19,3670.53
8.9201,2300.21,2170.19,370.01,2500.25,440.01
9.4141,1000.04,250.0,9293.41,5821.34,720.02
9.9081,2430.23,1410.08,4090.66,920.03,48492.78
10.4021,18173.05,5791.33,660.02,1000.04,170.0
10.8961,520.01,1090.05,97091.22,17321.85,5010.99
11.3901,2100.17,2060.17,3210.41,161069.06,500.01
11.8841,220.0,15930.02,3030.36,2190.19,1250.06
12.3781,380.01,380.01,1350.07,2510.25,19344.78
12.8721,3480.48,950.04,610.01,1600.1,270.0
13.3661,840.03,200.0,410.01,220.0,1360.07
13.8601,550.01,580.01,790.02,370.01,2700.29
14.3541,136563.26,650.02,1520.09,270.0,2410.23
14.8482,1060.04,130.0,680.02,1130.05,11715.42
15.3422,270.0,7862.44,1960.15,270.0,19084.39
15.8362,310.0,1000.04,27129.06,360.01,340.0
16.3302,4500.8,1710.12,620.02,780.02,1170.05
16.8242,1120.05,840.03,1830.13,1030.04,480.01
17.3182,1200.06,9133.3,460.01,270.0,2730.29
17.8122,2630.27,60.0,690.02,1130.05,280.0
18.3062,2690.29,240.0,17211.7,3280.43,930.03
18.8002,1360.07,160.0,4640.85,67771.08,710.02
19.2942,2450.24,1570.1,950.04,70.0,8222.67
19.7882,410.01,500.01,3780.56,340.0,150.0
20.2822,230.0,260.0,3740.55,240.0,210.0
20.7762,490.01,390.01,3600.51,460.01,850.03
21.2702,2080.17,1290.07,1560.1,600.01,1310.07
21.7642,950.04,1300.07,1780.13,1570.1,600.01
22.2582,700.02,7162.03,1590.1,640.02,1480.09
22.7522,200.0,470.01,1970.15,80.0,46535.45
23.2462,900.03,240.0,1010.04,660.02,670.02
24.2342,210.0,870.03,50.0,420.01,1700.11
24.7283,430.01,20.0,350.0,2430.23,2300.21
25.7163,1370.07,180.0,360.01,1030.04,630.02
26.7043,11104.87,180.0,50.0,1910.14,3010.36
27.1983,470.01,20496.59,40.0,530.01,1430.08
27.6923,12776.45,12275.95,100.0,1300.07,3540.5
28.1863,2950.34,500.01,160.0,21438.15,2400.23
28.6803,1390.08,470.01,20.0,17151.62,520.01
29.1743,810.03,81531.93,70.0,1200.06,1950.15
29.6683,710.02,92396.24,26708.17,6831.84,1020.04
