Time [Sec],line_1,line_2,line_3,line_4,line_5
0.5220,7281.95,7672.17,5571.14,7021.82,8792.85
1.0160,4330.69,7482.06,7051.83,7832.26,10223.85
1.5100,9523.34,12095.39,9363.23,149944.03,23330.04
2.0040,12605.85,17150.83,22769.09,11965.27,11274.68
2.4980,16319.81,15488.84,20074.84,13977.2,27227.29
2.9920,16740.32,12475.73,15719.1,12966.19,24452.01
3.4860,13266.48,11554.92,7452.05,10003.69,19824.47
3.9800,18552.68,17070.73,108965.83,11394.78,114440.63
4.4741,28279.44,16039.47,36188.2,11935.25,27537.92
4.9681,15659.03,15679.05,98506.32,7121.87,15018.31
5.4621,51256.64,20475.44,25904.71,5641.17,17981.91
5.9561,14457.7,13396.61,11194.62,11364.76,5841.26
6.4501,15208.52,13276.49,13166.39,10974.44,8702.79
6.9441,66261.42,17731.58,9593.39,40891.53,7321.97
7.4381,6011.33,94870.54,13696.91,12896.13,7321.97
7.9321,7792.24,117779.02,11805.13,14477.72,170524.96
8.4261,15969.39,14998.28,19323.75,19473.97,15568.93
8.9201,20635.68,15859.26,22148.06,20545.54,44141.69
9.4141,13817.03,10333.93,14257.49,10864.35,12255.53
10.4021,840045.77,44091.53,11705.05,10994.45,20014.75
10.8961,18442.53,12916.14,312671.89,13266.48,17140.82
11.3901,17781.64,15178.49,28940.83,343801.56,25063.13
11.8841,197730.47,307393.32,26105.09,137321.46,19343.78
12.3781,24882.8,16099.55,28149.17,18883.13,418156.24
12.8721,71025.42,16289.77,26225.32,17391.14,22929.36
13.3661,13837.05,19473.97,19904.59,16720.3,20034.78
13.8601,21617.21,23951.12,34995.08,18272.3,37672.23
14.3541,1835677.0,14697.96,21326.75,20996.23,45195.15
14.8482,9753.5,19113.45,14657.91,16850.46,22849.23
15.3422,11324.72,18602.74,16119.57,19133.48,259059.92
15.8362,10904.38,55151.87,321904.08,17080.74,18562.69
16.3302,18082.04,15348.68,50383.38,58536.0,20084.86
16.8242,17651.48,14657.91,20765.88,15088.38,13216.43
17.3182,17571.37,20084.86,232841.01,17411.16,50493.79
17.8122,22278.28,18102.07,88246.06,16920.54,11885.2
18.3062,24121.42,14467.71,178668.77,11855.18,15038.33
18.8002,26535.92,19784.41,187304.06,1191793.5,20455.41
19.2942,30754.82,18973.26,18572.7,26586.02,286932.42
19.7882,29201.39,16820.42,221513.69,15068.36,21176.51
20.2822,125104.15,17851.74,14738.0,21176.51,9883.6
20.7762,29301.61,75660.38,14958.24,15548.9,17060.72
21.2702,19494.0,18502.61,19003.3,17381.13,35145.46
21.7642,20034.78,16640.2,18462.55,20205.03,33100.33
22.2582,26916.67,37872.79,17441.2,23209.84,62222.36
22.7522,24962.94,8462.64,25624.17,23510.35,472383.0
23.2462,18602.74,10594.13,25503.95,24121.42,20535.53
23.7402,24492.09,9663.44,24942.91,24201.57,36609.33
24.2342,15859.26,31205.85,21056.33,84130.04,32899.84
24.7283,11054.5,7331.98,16890.51,28710.35,22418.51
25.2223,10123.78,7291.96,17521.31,20906.09,14968.25
25.7163,9133.07,6151.39,6731.67,12675.92,26285.44
26.2103,17941.86,7151.88,25163.31,16429.94,80125.91
26.7043,12866.1,10283.9,9943.64,19363.81,90742.45
27.1983,11484.86,210429.33,5771.23,13176.4,19473.97
27.6923,309602.71,726852.33,13376.59,11675.02,17841.72
28.1863,336173.98,22007.83,10574.12,368651.4,18712.9
28.6803,17010.66,23380.13,5291.03,18041.99,13797.01
29.1743,16409.92,201921.5,2620.25,71618.53,24832.7
29.6683,47934.53,534339.17,21256.64,9483.31,24291.73
