D:\Data\McGill_Bone_A_03.b\015SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/27/2018 10:12:14 PM using Batch McGill_Bone_A_03.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,12645.77,56214.55,852595.77,75217.93,33053.13
1.0160,58212.12,740785.37,371003.31,122974.81,16320.52
1.5100,100009.92,803974.53,1835902.00,815239.05,51554.85
2.0041,99848.77,1202799.54,687231.86,812565.61,54266.16
2.4981,286351.03,1120549.44,825982.18,163418.30,11034.81
2.9921,176832.15,1147800.71,1551161.70,566046.94,13146.83
3.4861,287198.32,1656739.49,975251.31,520828.70,52066.95
3.9801,143944.44,1782234.81,1130830.06,129898.89,12315.99
4.4741,92538.23,1444028.94,327368.37,116397.17,6751.80
4.9681,87485.55,1540869.76,905408.58,422291.40,19485.00
5.4621,134166.96,1678589.10,1319372.64,579977.14,77989.70
5.9561,144106.11,1482376.79,864128.03,373059.49,32812.50
6.4501,138943.73,1536702.77,1933486.38,681087.02,22479.96
6.9441,179982.34,1689821.72,3516807.76,1049867.72,14047.80
7.4381,208325.66,1563607.07,2721699.33,1007950.92,40424.49
7.9321,122842.58,1634740.17,1842999.66,898711.78,17552.17
8.4261,172852.36,1478504.13,747297.33,285298.49,9463.54
8.9201,169329.22,1726818.59,3618516.20,2813620.27,167157.28
9.4141,223113.43,1363243.78,1633888.10,568371.16,13897.63
9.9081,136186.54,1703261.76,1828682.63,1083828.66,149984.00
10.4021,187714.00,1421063.31,744247.25,757597.80,60564.65
10.8961,133288.54,1505996.03,993305.84,217499.53,5901.38
11.3902,169997.32,1649730.31,967487.09,835189.28,59168.07
11.8841,165564.08,1556893.78,1320108.89,441116.40,20787.07
12.3782,200136.19,1375985.38,1706079.66,1041853.89,134946.04
12.8722,279809.29,1710465.86,1721587.32,584734.99,38488.47
13.3662,167375.68,1607592.13,1543959.82,1550811.85,120147.95
13.8602,249101.01,1498447.59,2198643.40,747331.24,116342.63
14.3542,156691.72,1523763.41,2314400.43,370809.02,98643.15
14.8482,255872.85,1577881.38,2790495.58,1784552.63,61840.81
15.3422,221579.08,1679813.12,2401768.87,1303871.54,103461.41
15.8362,116367.00,1567293.00,3677100.57,2143186.22,73030.22
16.3302,256565.48,1569569.27,1654852.01,957150.77,38007.02
16.8242,191677.75,1648298.08,3311814.33,1391906.39,153981.61
17.3182,276840.50,1298429.33,1335624.98,233898.98,35690.28
17.8122,165503.38,1085771.31,1983427.00,848519.44,64001.52
18.3062,121581.52,1442132.26,743888.58,846031.00,15789.85
18.8002,83269.67,1497947.20,468999.56,281245.17,10864.66
19.2942,105399.69,1399624.84,1020602.95,801134.91,82387.45
19.7882,108231.40,1249442.22,1068022.17,245694.74,18673.78
20.2822,127766.84,1262315.95,1102519.20,364871.24,5191.06
20.7762,115015.78,1329000.71,1135928.34,621726.44,45210.66
21.2703,183974.29,1252160.87,1566615.76,460908.27,16260.45
21.7642,175282.61,1263259.40,854797.25,207931.25,8502.86
22.2583,230320.00,1747486.76,4964800.55,3237403.08,261699.59
22.7523,346041.21,1227629.52,1424400.76,466246.13,39702.21
23.2463,194466.25,607764.56,1508850.76,453753.08,42260.48
23.7403,192144.16,983939.57,1023907.17,283235.95,22289.62
24.2343,152100.94,1408295.93,1476993.26,480863.24,41578.23
24.7283,158805.60,1513353.55,1883407.00,1845882.47,205516.19
25.2223,364157.06,1596772.30,1915815.91,963381.24,106264.51
25.7163,228703.53,1718026.21,2799463.71,2284654.03,143661.25
26.2103,373326.52,1424409.11,2404574.34,844670.07,67610.21
26.7043,188960.80,1597751.79,1798886.22,525774.13,33815.14
27.1983,188585.72,1284523.66,1403260.60,617070.97,89193.38
27.6923,159665.41,1353870.44,1104694.91,451675.42,8903.13
28.1863,82967.86,1493611.95,856648.03,841629.60,66373.70
28.6803,159361.94,1633239.10,2696711.83,1515629.20,96657.92
29.1743,252807.28,1109655.20,3377396.20,1607136.07,36582.83
29.6683,213767.69,1187394.36,1633787.01,366761.21,6471.66


          Printed:4/27/2018 10:12:49 PM
