Time [Sec],line_1,line_2,line_3,line_4,line_5
0.5217,62102.27,68407.06,93554.34,89829.65,56214.55
1.0157,832576.87,820813.49,841521.99,1087338.01,740785.37
1.5097,1054526.98,1050013.3,664445.72,746375.5,803974.53
2.0037,1291289.87,1011052.46,1462039.49,841482.15,1202799.54
2.4977,1569303.94,1100107.74,1395539.58,1734839.49,1120549.44
2.9917,1287961.16,864826.87,1170090.16,2052070.36,1147800.71
3.4857,1381043.78,1342220.73,1311100.13,1880540.28,1656739.49
3.9797,1225515.46,977558.13,1062655.3,1597066.15,1782234.81
4.4737,1429761.16,1513534.41,1405161.07,1620410.0,1444028.94
4.9677,1267115.85,1400715.36,1436830.99,1764942.42,1540869.76
5.4617,1316533.82,1027950.22,1445870.54,2288640.09,1678589.1
5.9557,1269482.16,1078426.29,1316218.19,2280298.29,1482376.79
6.4497,1234014.29,1452601.89,1275680.3,2310550.44,1536702.77
6.9437,1410050.03,1549304.92,1414926.89,2353142.44,1689821.72
7.4377,1157380.1,1409911.95,1816852.38,2157981.49,1563607.07
7.9318,1566790.37,1010326.98,1259062.33,1741098.09,1634740.17
8.4258,882457.25,332403.01,1350912.43,1392766.24,1478504.13
8.9198,494720.52,398292.49,478732.38,1387152.08,1726818.59
9.4138,1044625.61,845492.01,527232.09,1661292.22,1363243.78
9.9078,1288714.48,1291413.21,1151164.97,1838444.57,1703261.76
10.4018,1319869.17,1197708.03,1398272.1,1609216.54,1421063.31
10.8958,1452685.09,1301801.69,1039684.2,1646795.74,1505996.03
11.3898,1248909.5,1029537.52,1040990.06,1812918.2,1649730.31
11.8838,1528650.91,803180.14,1477768.59,1906112.74,1556893.78
12.3778,1289372.0,1383290.95,1006149.53,1846925.04,1375985.38
12.8718,1304475.42,1347611.16,1348092.61,1892371.53,1710465.86
13.3658,1453959.7,1036103.83,1541371.52,2279492.24,1607592.13
13.8598,1663695.74,1729698.87,1532857.36,1753849.84,1498447.59
14.3538,1588477.38,1394670.25,1353870.44,1703149.06,1523763.41
14.8478,1768821.13,862606.37,1669136.56,1429041.83,1577881.38
15.3418,1411279.43,1023202.85,1590785.0,2291676.03,1679813.12
15.8358,1273052.86,1229361.84,1410795.93,1990095.75,1567293.0
16.3298,1153770.14,1350912.43,1278116.43,1602146.23,1569569.27
16.8238,1290029.52,1171557.45,1028394.07,1587009.12,1648298.08
17.3179,1229839.29,1389676.11,1464978.74,1793434.02,1298429.33
17.8119,1350128.35,942564.47,1707124.26,1563146.42,1085771.31
18.3059,1488250.13,1241753.45,1279608.43,1859285.0,1442132.26
18.7999,1130151.2,1118762.53,1809155.7,1683401.99,1497947.2
19.2939,1576372.2,1077225.02,1198511.16,1673960.39,1399624.84
19.7879,1561234.02,1190604.71,1235761.06,1611555.41,1249442.22
20.2819,1156131.47,1041878.73,1269140.26,1494640.07,1262315.95
20.7759,1321228.25,1247803.06,1442505.99,1769033.63,1329000.71
21.2699,1469083.63,841083.91,1325127.67,1665874.65,1252160.87
21.7639,1262124.54,1863644.57,1404732.84,1112726.49,1263259.4
22.2579,1419791.63,1458795.93,1430798.57,1364579.43,1747486.76
22.7519,1454915.76,1097106.86,990203.15,1533553.84,1227629.52
23.2459,1502826.01,1585862.63,1226483.82,1691356.87,607764.56
23.7399,1282058.92,1551187.73,1241930.98,1517597.4,983939.57
24.2339,1334688.51,1557200.72,1510181.97,1352439.48,1408295.93
24.7279,1006861.35,1316904.42,1434105.01,1618532.26,1513353.55
25.2219,866449.34,1614875.33,1866138.52,1783637.74,1596772.3
25.7159,754989.23,1447712.34,1242518.09,1801505.51,1718026.21
26.2099,1144410.18,1454888.02,1028071.21,1386310.77,1424409.11
26.7039,705831.12,1379334.5,1508652.08,1477171.91,1597751.79
27.1979,1073432.74,1375999.15,1064988.11,1281826.2,1284523.66
27.6920,1036897.87,1231108.04,1348408.92,1746483.05,1353870.44
28.1860,1513297.89,875695.23,1428502.38,1841588.71,1493611.95
28.6800,1087135.47,1164575.61,1555344.96,1623101.11,1633239.1
29.1740,934196.99,1218180.3,1253267.61,1304927.96,1109655.2
29.6680,1139773.07,991504.51,1208015.46,1447629.33,1187394.36
