Element,Line,Average,StdDev,Outliers
S34,line_1,182887.30578947367,67213.8445784419,3
S34,line_2,183150.29862068966,70618.32310191577,2
S34,line_3,178665.20614035087,79279.13233807663,3
S34,line_4,199610.49017543858,68649.7525161857,3
S34,line_5,177928.38116666666,71530.97006551673,0
S34,Total,184448.3363785239,7873.589239962976
Ca43,line_1,1243585.2186666664,287523.18368396553,0
Ca43,line_2,1178042.3963333333,319300.64622272743,0
Ca43,line_3,1284502.2103333331,309756.26572168135,0
Ca43,line_4,1652939.324833333,385244.18252352445,0
Ca43,line_5,1403571.0628333332,303752.8724432457,0
Ca43,Total,1352528.0425999998,167208.6253175081
Fe56,line_1,2272972.194,1001983.3996884292,0
Fe56,line_2,1749445.357368421,914153.3067419489,3
Fe56,line_3,1995300.3584745761,1021721.7843591991,1
Fe56,line_4,1873245.5701666668,878771.8746936277,0
Fe56,line_5,1617367.5891525424,827235.8076476639,1
Fe56,Total,1901666.2138324413,224249.9115161273
Zn66,line_1,1126625.0571929824,680452.381183737,3
Zn66,line_2,1059060.8405000002,754868.1093661146,0
Zn66,line_3,970345.0587272727,669136.9417760085,5
Zn66,line_4,890545.9418644069,598173.3053012328,1
Zn66,line_5,686305.8344642858,431673.0829419436,4
Zn66,Total,946576.5465497896,152653.4617834429
W182,line_1,113989.45050847458,67266.86384713017,0
W182,line_2,82474.35824561404,66204.95420823194,2
W182,line_3,67191.0747368421,47311.450026009225,2
W182,line_4,58186.970350877185,41156.12169581925,2
W182,line_5,51811.24879310345,42970.66594401348,1
W182,Total,74730.62052698227,22167.796092157496
