D:\Data\McGill_4wk_ctl_femurhead.b\097SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 11:11:21 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,24201.13,12.50,4140.63,4700.81,0.00
1.0160,25864.14,74840.40,870.03,5721.21,30.00
1.5101,26835.98,79466.22,1100.04,9743.50,10.00
2.0041,27056.41,108286.76,1080.04,11444.83,30.00
2.4981,27567.42,117247.21,630.01,8472.64,20.00
2.9921,27577.44,124384.45,630.01,11885.20,0.00
3.4861,26735.79,120424.47,4350.69,12926.15,30.00
3.9801,26976.25,118356.64,770.02,11164.59,0.00
4.4741,27547.38,124825.92,4470.73,13486.70,0.00
4.9681,26425.19,137521.02,910.03,9623.41,0.00
5.4621,26815.94,131967.06,550.01,9373.24,0.00
5.9561,27417.12,118394.47,820.02,7331.98,0.00
6.4501,27266.82,137306.40,660.02,9613.40,30.00
6.9441,26555.44,134188.38,630.01,9973.66,10.00
7.4381,26615.56,141725.86,500.01,12295.57,0.00
7.9321,26956.22,131310.83,1330.06,13086.31,0.00
8.4261,27206.71,128648.37,1830.12,13276.49,10.00
8.9201,26856.02,123463.71,1190.05,17281.00,0.00
9.4141,27747.78,114436.20,1510.08,15268.59,0.00
9.9081,26725.77,112419.69,18132.03,6661.64,0.00
10.4022,26856.02,4888.37,45706.38,1700.11,0.00
10.8961,27878.04,2412.71,23129.57,1710.11,0.00
11.3902,27146.59,2437.72,135155.70,920.03,0.00
11.8842,26846.00,2875.30,24942.76,1610.10,0.00
12.3782,26174.72,33578.41,25052.96,9953.65,0.00
12.8722,27807.90,104066.90,8502.65,24091.37,0.00
13.3662,26846.00,140627.18,1500.08,19023.33,0.00
13.8602,27447.18,116705.14,970.03,17821.70,10.00
14.3542,27136.57,131222.49,1800.12,17210.91,0.00
14.8482,26866.04,117335.45,1530.09,14868.14,10.00
15.3422,26725.77,129304.47,1380.07,14097.32,0.00
15.8362,26084.55,127033.47,880.03,14577.83,10.00
16.3302,26104.59,131537.98,920.03,12105.40,0.00
16.8242,28068.42,124523.18,620.01,13246.46,10.00
17.3182,27156.61,125153.87,1280.06,10313.92,10.00
17.8122,26465.27,124901.60,820.02,10874.36,0.00
18.3062,26765.85,130578.92,770.02,12896.13,0.00
18.8002,26775.87,135980.84,640.02,11614.97,10.00
19.2942,25984.36,119050.09,920.03,12125.42,10.00
19.7882,26004.40,128862.86,1660.10,9823.56,70.00
20.2822,28198.69,135236.06,1150.05,11124.56,40.00
20.7762,27898.08,132080.64,2100.16,8862.89,40.00
21.2703,26124.62,124611.49,1110.05,11855.18,40.00
21.7643,26214.79,130427.49,1070.04,12025.33,40.00
22.2583,26815.94,128042.76,1550.09,9853.58,50.00
22.7523,26675.68,121698.09,1490.08,8252.51,40.00
23.2463,26735.79,116717.74,1720.11,9223.13,40.00
23.7403,26835.98,109672.66,2740.27,20695.77,20.00
24.2343,27196.69,115444.57,10223.83,32559.02,40.00
24.7283,27397.08,41462.35,34162.69,7201.91,0.00
25.2223,26565.46,2012.65,11084.50,1200.05,10.00
25.7163,26946.20,937.53,24081.22,710.02,10.00
26.2103,27617.52,700.02,9823.53,740.02,0.00
26.7043,25653.75,537.51,8842.86,730.02,10.00
27.1983,26575.48,1437.58,10574.09,660.02,10.00
27.6923,27086.47,625.01,5961.30,440.01,0.00
28.1863,25994.38,2237.68,6001.32,590.01,0.00
28.6803,26024.44,887.53,4920.89,690.02,10.00
29.1743,27407.10,500.01,5721.20,560.01,0.00
29.6683,27968.22,612.51,5110.96,720.02,0.00
30.1623,26605.54,675.02,9063.01,590.01,0.00
30.6563,26164.70,662.52,14097.27,690.02,0.00
31.1504,27587.46,800.02,11214.60,640.02,10.00
31.6444,27817.92,17198.24,39206.21,14237.47,30.00
32.1384,29100.55,14032.15,47502.49,6401.51,10.00
32.6324,27837.96,1725.11,11785.08,710.02,0.00
33.1264,27617.52,787.52,13326.50,570.01,20.00
33.6204,28880.09,1037.54,11294.67,840.03,10.00
34.1144,29220.81,17924.16,56637.24,17581.38,60.00
34.6084,29521.44,64877.53,45876.95,29351.72,70.00
35.1024,29020.38,123552.00,10714.20,15849.25,60.00
35.5964,28288.87,90999.80,3740.51,13176.40,50.00
36.0904,28809.94,56967.63,5050.93,6411.51,10.00
36.5844,28018.32,59628.87,2770.28,9923.63,30.00
37.0784,30363.26,132421.39,1390.07,10333.93,20.00
37.5724,29471.34,108274.16,1520.08,9353.22,30.00
38.0664,30593.77,122706.99,710.02,17851.74,10.00
38.5604,28749.82,92283.30,1950.14,13466.68,10.00
39.0544,29982.43,88055.75,1530.09,20715.80,60.00
39.5484,31786.45,112054.23,14337.52,39948.73,40.00
40.0424,29852.15,57984.37,23289.85,19524.04,20.00
40.5364,30503.57,4513.24,4180.64,1000.04,0.00
41.0305,30343.21,862.53,8332.54,510.01,0.00
41.5245,29882.21,862.53,3360.41,600.01,0.00
42.0185,27086.47,212.50,1420.07,570.01,0.00
42.5125,27367.02,475.01,3750.52,790.02,10.00
43.0065,29250.87,237.50,2050.15,300.00,0.00
43.5005,25814.04,50.00,420.01,230.00,0.00
43.9945,25002.56,62.50,1140.05,240.00,0.00
44.4885,25313.12,200.00,2590.25,680.02,0.00
44.9825,27407.10,462.51,4810.85,660.02,0.00
45.4765,27767.82,300.00,1600.09,460.01,0.00
45.9705,27777.84,1100.04,7792.22,1010.04,0.00
