D:\Data\McGill_4wk_ctl_femurhead.b\081SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:54:42 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,24521.70,12.50,65124.96,58907.61,90.00
1.0161,25894.19,65455.26,3520.45,30554.37,20.00
1.5101,25212.94,89062.18,3340.41,10574.12,50.00
2.0041,27176.65,131172.01,1120.05,8002.36,0.00
2.4981,27006.32,131512.73,830.03,7872.28,0.00
2.9921,26535.40,131840.86,930.03,9063.03,0.00
3.4861,27086.47,138821.49,1700.11,10904.38,40.00
3.9801,27006.32,137079.15,700.02,11725.06,0.00
4.4741,26124.62,166994.34,930.03,9733.49,0.00
4.9682,26976.25,133860.21,1360.07,25223.42,0.00
5.4622,28529.36,129985.84,880.03,14177.40,20.00
5.9562,28549.41,143456.14,1080.04,17431.19,10.00
6.4502,29210.78,133847.59,790.02,13827.04,10.00
6.9442,27747.78,119554.43,2020.15,11124.56,30.00
7.4382,27597.48,146374.11,1350.07,19323.75,70.00
7.9322,27767.82,152856.51,1380.07,14517.76,30.00
8.4262,26204.78,121584.60,1410.07,11875.19,0.00
8.9202,26665.65,130212.98,1070.04,13126.35,0.00
9.4142,25633.71,125961.18,2830.29,14257.49,0.00
9.9082,27647.58,104066.90,37812.29,3430.43,0.00
10.4022,26605.54,4600.77,79691.91,890.03,0.00
10.8962,25904.21,1000.04,38153.24,600.01,0.00
11.3902,25393.27,775.02,68843.13,610.01,0.00
11.8842,26094.57,962.53,66220.20,1080.04,0.00
12.3782,26545.42,1225.05,78847.02,680.02,0.00
12.8722,26585.50,762.52,46639.53,810.02,0.00
13.3662,26505.35,1737.61,30995.14,870.03,0.00
13.8602,28910.15,3150.36,29181.15,1060.04,20.00
14.3542,27908.10,2712.77,29962.84,1680.10,20.00
14.8483,27978.24,2550.24,22518.56,1090.04,0.00
15.3423,27026.35,2050.15,22548.61,800.02,0.00
15.8363,25944.29,1575.09,18552.60,1350.07,0.00
16.3303,27106.51,1675.10,27547.76,950.03,0.00
16.8243,27757.80,1937.64,37722.04,1220.05,20.00
17.3183,26655.63,1575.09,21777.35,950.03,0.00
17.8123,26375.10,1687.60,21937.61,870.03,0.00
18.3063,26445.23,1400.07,20224.97,1020.04,0.00
18.8003,27286.86,1337.56,15648.96,2420.22,0.00
19.2943,26515.37,1637.60,22819.05,1470.08,0.00
19.7883,26765.85,1625.10,18242.18,1930.14,0.00
20.2823,26655.63,2312.69,28660.05,2380.21,0.00
20.7763,28208.71,51885.10,16269.69,8882.91,30.00
21.2703,26405.16,132093.26,2000.15,14717.98,20.00
